排名,沪深300ETF比例,中债新综合LOF比例,红利ETF比例,再平衡阈值,再平衡启用,策略A启用,策略B启用,累计总收益,年化收益,最大回撤,年化波动,夏普比率,卡玛比率
187,undefined%,0%,40%,1%,开,关,开,152.6233%,7.1987%,37.1626%,18.3654%,0.255800,0.193708
188,undefined%,0%,40%,1%,开,关,关,152.6233%,7.1987%,37.1626%,18.3654%,0.255800,0.193708
189,undefined%,0%,60%,3%,开,关,开,237.6572%,9.5573%,52.0901%,27.6162%,0.255500,0.183476
190,undefined%,0%,60%,3%,开,关,关,237.6572%,9.5573%,52.0901%,27.6162%,0.255500,0.183476
191,undefined%,0%,40%,2%,开,关,开,151.9330%,7.1767%,36.9400%,18.3472%,0.254900,0.194280
192,undefined%,0%,40%,2%,开,关,关,151.9330%,7.1767%,36.9400%,18.3472%,0.254900,0.194280
193,undefined%,80%,0%,2%,开,开,开,114.6358%,5.8964%,24.6363%,13.4496%,0.252500,0.239338
194,undefined%,80%,0%,2%,开,开,关,114.6358%,5.8964%,24.6363%,13.4496%,0.252500,0.239338
195,undefined%,40%,60%,1%,关,关,开,230.7712%,9.3881%,55.1848%,27.6718%,0.248900,0.170121
196,undefined%,40%,60%,1%,关,关,关,230.7712%,9.3881%,55.1848%,27.6718%,0.248900,0.170121
197,undefined%,40%,60%,2%,关,关,开,230.7712%,9.3881%,55.1848%,27.6718%,0.248900,0.170121
198,undefined%,40%,60%,2%,关,关,关,230.7712%,9.3881%,55.1848%,27.6718%,0.248900,0.170121
199,undefined%,40%,60%,3%,关,关,开,230.7712%,9.3881%,55.1848%,27.6718%,0.248900,0.170121
200,undefined%,40%,60%,3%,关,关,关,230.7712%,9.3881%,55.1848%,27.6718%,0.248900,0.170121
201,undefined%,0%,40%,1%,关,开,开,268.1678%,10.2705%,56.2533%,31.3668%,0.247700,0.182576
202,undefined%,0%,40%,1%,关,开,关,268.1678%,10.2705%,56.2533%,31.3668%,0.247700,0.182576
203,undefined%,0%,40%,2%,关,开,开,268.1678%,10.2705%,56.2533%,31.3668%,0.247700,0.182576
204,undefined%,0%,40%,2%,关,开,关,268.1678%,10.2705%,56.2533%,31.3668%,0.247700,0.182576
205,undefined%,0%,40%,3%,关,开,开,268.1678%,10.2705%,56.2533%,31.3668%,0.247700,0.182576
206,undefined%,0%,40%,3%,关,开,关,268.1678%,10.2705%,56.2533%,31.3668%,0.247700,0.182576
207,undefined%,0%,40%,3%,开,关,开,148.2183%,7.0574%,38.0666%,18.4017%,0.247700,0.185396
208,undefined%,0%,40%,3%,开,关,关,148.2183%,7.0574%,38.0666%,18.4017%,0.247700,0.185396
209,undefined%,40%,40%,1%,关,关,开,164.1176%,7.5571%,45.9950%,20.6565%,0.244800,0.164303
210,undefined%,40%,40%,1%,关,关,关,164.1176%,7.5571%,45.9950%,20.6565%,0.244800,0.164303
211,undefined%,40%,40%,2%,关,关,开,164.1176%,7.5571%,45.9950%,20.6565%,0.244800,0.164303
212,undefined%,40%,40%,2%,关,关,关,164.1176%,7.5571%,45.9950%,20.6565%,0.244800,0.164303
213,undefined%,40%,40%,3%,关,关,开,164.1176%,7.5571%,45.9950%,20.6565%,0.244800,0.164303
214,undefined%,40%,40%,3%,关,关,关,164.1176%,7.5571%,45.9950%,20.6565%,0.244800,0.164303
215,undefined%,100%,0%,1%,关,开,开,134.3485%,6.5966%,29.8036%,16.7398%,0.244700,0.221336
216,undefined%,100%,0%,1%,关,开,关,134.3485%,6.5966%,29.8036%,16.7398%,0.244700,0.221336
217,undefined%,100%,0%,2%,关,开,开,134.3485%,6.5966%,29.8036%,16.7398%,0.244700,0.221336
218,undefined%,100%,0%,2%,关,开,关,134.3485%,6.5966%,29.8036%,16.7398%,0.244700,0.221336
219,undefined%,100%,0%,3%,关,开,开,134.3485%,6.5966%,29.8036%,16.7398%,0.244700,0.221336
220,undefined%,100%,0%,3%,关,开,关,134.3485%,6.5966%,29.8036%,16.7398%,0.244700,0.221336
221,undefined%,80%,0%,1%,开,开,开,111.7232%,5.7879%,24.7314%,13.5069%,0.243400,0.234030
222,undefined%,80%,0%,1%,开,开,关,111.7232%,5.7879%,24.7314%,13.5069%,0.243400,0.234030
223,undefined%,40%,60%,1%,关,开,开,384.5055%,12.5653%,64.7798%,41.9550%,0.239900,0.193969
224,undefined%,40%,60%,1%,关,开,关,384.5055%,12.5653%,64.7798%,41.9550%,0.239900,0.193969
225,undefined%,40%,60%,2%,关,开,开,384.5055%,12.5653%,64.7798%,41.9550%,0.239900,0.193969
226,undefined%,40%,60%,2%,关,开,关,384.5055%,12.5653%,64.7798%,41.9550%,0.239900,0.193969
227,undefined%,40%,60%,3%,关,开,开,384.5055%,12.5653%,64.7798%,41.9550%,0.239900,0.193969
228,undefined%,40%,60%,3%,关,开,关,384.5055%,12.5653%,64.7798%,41.9550%,0.239900,0.193969
229,undefined%,0%,80%,3%,开,关,开,311.2873%,11.1904%,62.8389%,36.7525%,0.236500,0.178081
230,undefined%,0%,80%,3%,开,关,关,311.2873%,11.1904%,62.8389%,36.7525%,0.236500,0.178081
231,undefined%,20%,60%,1%,关,关,开,215.3536%,8.9971%,56.1690%,27.5094%,0.236200,0.160179
232,undefined%,20%,60%,1%,关,关,关,215.3536%,8.9971%,56.1690%,27.5094%,0.236200,0.160179
233,undefined%,20%,60%,2%,关,关,开,215.3536%,8.9971%,56.1690%,27.5094%,0.236200,0.160179
234,undefined%,20%,60%,2%,关,关,关,215.3536%,8.9971%,56.1690%,27.5094%,0.236200,0.160179
235,undefined%,20%,60%,3%,关,关,开,215.3536%,8.9971%,56.1690%,27.5094%,0.236200,0.160179
236,undefined%,20%,60%,3%,关,关,关,215.3536%,8.9971%,56.1690%,27.5094%,0.236200,0.160179
237,undefined%,40%,60%,2%,开,开,开,371.4942%,12.3357%,64.8722%,41.8373%,0.235100,0.190154
238,undefined%,40%,60%,2%,开,开,关,371.4942%,12.3357%,64.8722%,41.8373%,0.235100,0.190154
239,undefined%,40%,60%,3%,开,开,开,370.9424%,12.3258%,64.7802%,41.8389%,0.234800,0.190271
